From	To	Species	Gene Name
RPS6KB1	ENSG00000108443	Homo sapiens	ribosomal protein S6 kinase B1(RPS6KB1)
JAG1	ENSG00000101384	Homo sapiens	jagged 1(JAG1)
IL15	ENSG00000164136	Homo sapiens	interleukin 15(IL15)
CXCL12	ENSG00000107562	Homo sapiens	C-X-C motif chemokine ligand 12(CXCL12)
TGFB1	ENSG00000105329	Homo sapiens	transforming growth factor beta 1(TGFB1)
TGFB2	ENSG00000092969	Homo sapiens	transforming growth factor beta 2(TGFB2)
CDKN2A	ENSG00000147889	Homo sapiens	cyclin dependent kinase inhibitor 2A(CDKN2A)
CDKN2B	ENSG00000147883	Homo sapiens	cyclin dependent kinase inhibitor 2B(CDKN2B)
SLC2A1	ENSG00000117394	Homo sapiens	solute carrier family 2 member 1(SLC2A1)
RALB	ENSG00000144118	Homo sapiens	RAS like proto-oncogene B(RALB)
RALA	ENSG00000006451	Homo sapiens	RAS like proto-oncogene A(RALA)
IL15RA	ENSG00000134470	Homo sapiens	interleukin 15 receptor subunit alpha(IL15RA)
EGFR	ENSG00000146648	Homo sapiens	epidermal growth factor receptor(EGFR)
RET	ENSG00000165731	Homo sapiens	ret proto-oncogene(RET)
RELA	ENSG00000173039	Homo sapiens	RELA proto-oncogene, NF-kB subunit(RELA)
DLL3	ENSG00000090932	Homo sapiens	delta like canonical Notch ligand 3(DLL3)
DLL1	ENSG00000198719	Homo sapiens	delta like canonical Notch ligand 1(DLL1)
FADD	ENSG00000168040	Homo sapiens	Fas associated via death domain(FADD)
CCDC6	ENSG00000108091	Homo sapiens	coiled-coil domain containing 6(CCDC6)
HIF1A	ENSG00000100644	Homo sapiens	hypoxia inducible factor 1 alpha subunit(HIF1A)
DLL4	ENSG00000128917	Homo sapiens	delta like canonical Notch ligand 4(DLL4)
NFE2L2	ENSG00000116044	Homo sapiens	nuclear factor, erythroid 2 like 2(NFE2L2)
TRAF1	ENSG00000056558	Homo sapiens	TNF receptor associated factor 1(TRAF1)
TRAF2	ENSG00000127191	Homo sapiens	TNF receptor associated factor 2(TRAF2)
ARNT	ENSG00000143437	Homo sapiens	aryl hydrocarbon receptor nuclear translocator(ARNT)
IL12RB2	ENSG00000081985	Homo sapiens	interleukin 12 receptor subunit beta 2(IL12RB2)
PTK2	ENSG00000169398	Homo sapiens	protein tyrosine kinase 2(PTK2)
IL12RB1	ENSG00000096996	Homo sapiens	interleukin 12 receptor subunit beta 1(IL12RB1)
EGF	ENSG00000138798	Homo sapiens	epidermal growth factor(EGF)
TRAF6	ENSG00000175104	Homo sapiens	TNF receptor associated factor 6(TRAF6)
TRAF5	ENSG00000082512	Homo sapiens	TNF receptor associated factor 5(TRAF5)
TRAF4	ENSG00000076604	Homo sapiens	TNF receptor associated factor 4(TRAF4)
TRAF3	ENSG00000131323	Homo sapiens	TNF receptor associated factor 3(TRAF3)
EPAS1	ENSG00000116016	Homo sapiens	endothelial PAS domain protein 1(EPAS1)
MET	ENSG00000105976	Homo sapiens	MET proto-oncogene, receptor tyrosine kinase(MET)
CDKN1A	ENSG00000124762	Homo sapiens	cyclin dependent kinase inhibitor 1A(CDKN1A)
HDAC2	ENSG00000196591	Homo sapiens	histone deacetylase 2(HDAC2)
CDKN1B	ENSG00000111276	Homo sapiens	cyclin dependent kinase inhibitor 1B(CDKN1B)
HDAC1	ENSG00000116478	Homo sapiens	histone deacetylase 1(HDAC1)
IKBKG	ENSG00000269335	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma(IKBKG)
IKBKB	ENSG00000104365	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta(IKBKB)
ABL1	ENSG00000097007	Homo sapiens	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)
E2F1	ENSG00000101412	Homo sapiens	E2F transcription factor 1(E2F1)
E2F2	ENSG00000007968	Homo sapiens	E2F transcription factor 2(E2F2)
E2F3	ENSG00000112242	Homo sapiens	E2F transcription factor 3(E2F3)
CDC42	ENSG00000070831	Homo sapiens	cell division cycle 42(CDC42)
MAX	ENSG00000125952	Homo sapiens	MYC associated factor X(MAX)
CASP3	ENSG00000164305	Homo sapiens	caspase 3(CASP3)
CASP9	ENSG00000132906	Homo sapiens	caspase 9(CASP9)
HEY1	ENSG00000164683	Homo sapiens	hes related family bHLH transcription factor with YRPW motif 1(HEY1)
CASP7	ENSG00000165806	Homo sapiens	caspase 7(CASP7)
HMOX1	ENSG00000100292	Homo sapiens	heme oxygenase 1(HMOX1)
PAX8	ENSG00000125618	Homo sapiens	paired box 8(PAX8)
CASP8	ENSG00000064012	Homo sapiens	caspase 8(CASP8)
HEY2	ENSG00000135547	Homo sapiens	hes related family bHLH transcription factor with YRPW motif 2(HEY2)
RHOA	ENSG00000067560	Homo sapiens	ras homolog family member A(RHOA)
CSF2RB	ENSG00000100368	Homo sapiens	colony stimulating factor 2 receptor beta common subunit(CSF2RB)
CSF2RA	ENSG00000198223	Homo sapiens	colony stimulating factor 2 receptor alpha subunit(CSF2RA)
PTGER1	ENSG00000160951	Homo sapiens	prostaglandin E receptor 1(PTGER1)
PTGER2	ENSG00000125384	Homo sapiens	prostaglandin E receptor 2(PTGER2)
PTGER3	ENSG00000050628	Homo sapiens	prostaglandin E receptor 3(PTGER3)
PTGER4	ENSG00000171522	Homo sapiens	prostaglandin E receptor 4(PTGER4)
CYCS	ENSG00000172115	Homo sapiens	cytochrome c, somatic(CYCS)
ESR1	ENSG00000091831	Homo sapiens	estrogen receptor 1(ESR1)
CDK6	ENSG00000105810	Homo sapiens	cyclin dependent kinase 6(CDK6)
ESR2	ENSG00000140009	Homo sapiens	estrogen receptor 2(ESR2)
RB1	ENSG00000139687	Homo sapiens	RB transcriptional corepressor 1(RB1)
CDK4	ENSG00000135446	Homo sapiens	cyclin dependent kinase 4(CDK4)
CDK2	ENSG00000123374	Homo sapiens	cyclin dependent kinase 2(CDK2)
NCOA1	ENSG00000084676	Homo sapiens	nuclear receptor coactivator 1(NCOA1)
NCOA3	ENSG00000124151	Homo sapiens	nuclear receptor coactivator 3(NCOA3)
NCOA4	ENSG00000266412	Homo sapiens	nuclear receptor coactivator 4(NCOA4)
TXNRD3	ENSG00000197763	Homo sapiens	thioredoxin reductase 3(TXNRD3)
DDB2	ENSG00000134574	Homo sapiens	damage specific DNA binding protein 2(DDB2)
TXNRD2	ENSG00000184470	Homo sapiens	thioredoxin reductase 2(TXNRD2)
TXNRD1	ENSG00000198431	Homo sapiens	thioredoxin reductase 1(TXNRD1)
DCC	ENSG00000187323	Homo sapiens	DCC netrin 1 receptor(DCC)
EGLN3	ENSG00000129521	Homo sapiens	egl-9 family hypoxia inducible factor 3(EGLN3)
EGLN2	ENSG00000269858	Homo sapiens	egl-9 family hypoxia inducible factor 2(EGLN2)
KITLG	ENSG00000049130	Homo sapiens	KIT ligand(KITLG)
CDH1	ENSG00000039068	Homo sapiens	cadherin 1(CDH1)
EGLN1	ENSG00000135766	Homo sapiens	egl-9 family hypoxia inducible factor 1(EGLN1)
IGF1R	ENSG00000140443	Homo sapiens	insulin like growth factor 1 receptor(IGF1R)
KIF7	ENSG00000166813	Homo sapiens	kinesin family member 7(KIF7)
CALML4	ENSG00000129007	Homo sapiens	calmodulin like 4(CALML4)
CALML3	ENSG00000178363	Homo sapiens	calmodulin like 3(CALML3)
CALML6	ENSG00000169885	Homo sapiens	calmodulin like 6(CALML6)
CALML5	ENSG00000178372	Homo sapiens	calmodulin like 5(CALML5)
GSTA1	ENSG00000243955	Homo sapiens	glutathione S-transferase alpha 1(GSTA1)
COL4A4	ENSG00000081052	Homo sapiens	collagen type IV alpha 4 chain(COL4A4)
CEBPA	ENSG00000245848	Homo sapiens	CCAAT/enhancer binding protein alpha(CEBPA)
GSTA2	ENSG00000244067	Homo sapiens	glutathione S-transferase alpha 2(GSTA2)
COL4A3	ENSG00000169031	Homo sapiens	collagen type IV alpha 3 chain(COL4A3)
GSTA3	ENSG00000174156	Homo sapiens	glutathione S-transferase alpha 3(GSTA3)
COL4A2	ENSG00000134871	Homo sapiens	collagen type IV alpha 2 chain(COL4A2)
GSTA4	ENSG00000170899	Homo sapiens	glutathione S-transferase alpha 4(GSTA4)
COL4A1	ENSG00000187498	Homo sapiens	collagen type IV alpha 1 chain(COL4A1)
GSTA5	ENSG00000182793	Homo sapiens	glutathione S-transferase alpha 5(GSTA5)
KLK3	ENSG00000142515	Homo sapiens	kallikrein related peptidase 3(KLK3)
VHL	ENSG00000134086	Homo sapiens	von Hippel-Lindau tumor suppressor(VHL)
FLT3	ENSG00000122025	Homo sapiens	fms related tyrosine kinase 3(FLT3)
FLT4	ENSG00000037280	Homo sapiens	fms related tyrosine kinase 4(FLT4)
CBL	ENSG00000110395	Homo sapiens	Cbl proto-oncogene(CBL)
RAF1	ENSG00000132155	Homo sapiens	Raf-1 proto-oncogene, serine/threonine kinase(RAF1)
BAD	ENSG00000002330	Homo sapiens	BCL2 associated agonist of cell death(BAD)
COL4A6	ENSG00000197565	Homo sapiens	collagen type IV alpha 6 chain(COL4A6)
COL4A5	ENSG00000188153	Homo sapiens	collagen type IV alpha 5 chain(COL4A5)
FZD10	ENSG00000111432	Homo sapiens	frizzled class receptor 10(FZD10)
BAX	ENSG00000087088	Homo sapiens	BCL2 associated X, apoptosis regulator(BAX)
HEYL	ENSG00000163909	Homo sapiens	hes related family bHLH transcription factor with YRPW motif-like(HEYL)
JAK1	ENSG00000162434	Homo sapiens	Janus kinase 1(JAK1)
EPOR	ENSG00000187266	Homo sapiens	erythropoietin receptor(EPOR)
JAK2	ENSG00000096968	Homo sapiens	Janus kinase 2(JAK2)
APAF1	ENSG00000120868	Homo sapiens	apoptotic peptidase activating factor 1(APAF1)
JAK3	ENSG00000105639	Homo sapiens	Janus kinase 3(JAK3)
ADCY3	ENSG00000138031	Homo sapiens	adenylate cyclase 3(ADCY3)
ADCY4	ENSG00000129467	Homo sapiens	adenylate cyclase 4(ADCY4)
ADCY1	ENSG00000164742	Homo sapiens	adenylate cyclase 1(ADCY1)
ADCY2	ENSG00000078295	Homo sapiens	adenylate cyclase 2(ADCY2)
ADCY7	ENSG00000121281	Homo sapiens	adenylate cyclase 7(ADCY7)
IL6ST	ENSG00000134352	Homo sapiens	interleukin 6 signal transducer(IL6ST)
ADCY8	ENSG00000155897	Homo sapiens	adenylate cyclase 8(ADCY8)
STAT5A	ENSG00000126561	Homo sapiens	signal transducer and activator of transcription 5A(STAT5A)
ADCY5	ENSG00000173175	Homo sapiens	adenylate cyclase 5(ADCY5)
STAT5B	ENSG00000173757	Homo sapiens	signal transducer and activator of transcription 5B(STAT5B)
ADCY6	ENSG00000174233	Homo sapiens	adenylate cyclase 6(ADCY6)
LPAR4	ENSG00000147145	Homo sapiens	lysophosphatidic acid receptor 4(LPAR4)
LPAR3	ENSG00000171517	Homo sapiens	lysophosphatidic acid receptor 3(LPAR3)
LPAR2	ENSG00000064547	Homo sapiens	lysophosphatidic acid receptor 2(LPAR2)
LPAR1	ENSG00000198121	Homo sapiens	lysophosphatidic acid receptor 1(LPAR1)
SHH	ENSG00000164690	Homo sapiens	sonic hedgehog(SHH)
BAK1	ENSG00000030110	Homo sapiens	BCL2 antagonist/killer 1(BAK1)
IFNG	ENSG00000111537	Homo sapiens	interferon gamma(IFNG)
BIRC8	ENSG00000163098	Homo sapiens	baculoviral IAP repeat containing 8(BIRC8)
RARA	ENSG00000131759	Homo sapiens	retinoic acid receptor alpha(RARA)
RARB	ENSG00000077092	Homo sapiens	retinoic acid receptor beta(RARB)
POLK	ENSG00000122008	Homo sapiens	DNA polymerase kappa(POLK)
PLD1	ENSG00000075651	Homo sapiens	phospholipase D1(PLD1)
BCR	ENSG00000186716	Homo sapiens	BCR, RhoGEF and GTPase activating protein(BCR)
PIM1	ENSG00000137193	Homo sapiens	Pim-1 proto-oncogene, serine/threonine kinase(PIM1)
GSTT1	ENSG00000277656	Homo sapiens	glutathione S-transferase theta 1(GSTT1)
GSTT2	ENSG00000099984	Homo sapiens	glutathione S-transferase theta 2 (gene/pseudogene)(GSTT2)
PIM2	ENSG00000102096	Homo sapiens	Pim-2 proto-oncogene, serine/threonine kinase(PIM2)
VEGFB	ENSG00000173511	Homo sapiens	vascular endothelial growth factor B(VEGFB)
HES1	ENSG00000114315	Homo sapiens	hes family bHLH transcription factor 1(HES1)
VEGFC	ENSG00000150630	Homo sapiens	vascular endothelial growth factor C(VEGFC)
VEGFD	ENSG00000165197	Homo sapiens	vascular endothelial growth factor D(VEGFD)
LPAR5	ENSG00000184574	Homo sapiens	lysophosphatidic acid receptor 5(LPAR5)
HES5	ENSG00000197921	Homo sapiens	hes family bHLH transcription factor 5(HES5)
LPAR6	ENSG00000139679	Homo sapiens	lysophosphatidic acid receptor 6(LPAR6)
LAMC3	ENSG00000050555	Homo sapiens	laminin subunit gamma 3(LAMC3)
VEGFA	ENSG00000112715	Homo sapiens	vascular endothelial growth factor A(VEGFA)
PDGFRA	ENSG00000134853	Homo sapiens	platelet derived growth factor receptor alpha(PDGFRA)
PDGFRB	ENSG00000113721	Homo sapiens	platelet derived growth factor receptor beta(PDGFRB)
LAMC2	ENSG00000058085	Homo sapiens	laminin subunit gamma 2(LAMC2)
LAMC1	ENSG00000135862	Homo sapiens	laminin subunit gamma 1(LAMC1)
ITGA2B	ENSG00000005961	Homo sapiens	integrin subunit alpha 2b(ITGA2B)
BDKRB1	ENSG00000100739	Homo sapiens	bradykinin receptor B1(BDKRB1)
BDKRB2	ENSG00000168398	Homo sapiens	bradykinin receptor B2(BDKRB2)
LAMB4	ENSG00000091128	Homo sapiens	laminin subunit beta 4(LAMB4)
KRAS	ENSG00000133703	Homo sapiens	KRAS proto-oncogene, GTPase(KRAS)
LAMB2	ENSG00000172037	Homo sapiens	laminin subunit beta 2(LAMB2)
LAMB1	ENSG00000091136	Homo sapiens	laminin subunit beta 1(LAMB1)
BMP4	ENSG00000125378	Homo sapiens	bone morphogenetic protein 4(BMP4)
BMP2	ENSG00000125845	Homo sapiens	bone morphogenetic protein 2(BMP2)
CREBBP	ENSG00000005339	Homo sapiens	CREB binding protein(CREBBP)
SMAD4	ENSG00000141646	Homo sapiens	SMAD family member 4(SMAD4)
SMAD3	ENSG00000166949	Homo sapiens	SMAD family member 3(SMAD3)
SMAD2	ENSG00000175387	Homo sapiens	SMAD family member 2(SMAD2)
NOTCH3	ENSG00000074181	Homo sapiens	notch 3(NOTCH3)
LAMA2	ENSG00000196569	Homo sapiens	laminin subunit alpha 2(LAMA2)
NOTCH2	ENSG00000134250	Homo sapiens	notch 2(NOTCH2)
LAMA1	ENSG00000101680	Homo sapiens	laminin subunit alpha 1(LAMA1)
NOTCH1	ENSG00000148400	Homo sapiens	notch 1(NOTCH1)
LAMA4	ENSG00000112769	Homo sapiens	laminin subunit alpha 4(LAMA4)
LAMA3	ENSG00000053747	Homo sapiens	laminin subunit alpha 3(LAMA3)
ETS1	ENSG00000134954	Homo sapiens	ETS proto-oncogene 1, transcription factor(ETS1)
NTRK1	ENSG00000198400	Homo sapiens	neurotrophic receptor tyrosine kinase 1(NTRK1)
NOTCH4	ENSG00000204301	Homo sapiens	notch 4(NOTCH4)
IL5RA	ENSG00000091181	Homo sapiens	interleukin 5 receptor subunit alpha(IL5RA)
PPARD	ENSG00000112033	Homo sapiens	peroxisome proliferator activated receptor delta(PPARD)
PPARG	ENSG00000132170	Homo sapiens	peroxisome proliferator activated receptor gamma(PPARG)
MITF	ENSG00000187098	Homo sapiens	melanogenesis associated transcription factor(MITF)
